tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok,kacinci,kazandi,ilk3,agf_final,agf_sira,derece_sonuc,ganyan,durum
11.07.2026,Ankara,1,1,GRENTLY WINS,RHYTHM DIVINE,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,5,7.0,4.7,13.663599999999995,8.73,15.75,9.15,6685,-0.7,3,-0.1,1,0.0,,0.33,,4.04,,,,0,0,0,8,0,0,11.38,4,1:39.14,"7,65",tamam
11.07.2026,Ankara,1,2,ÇAPGUR,FINESSE,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,0,,,,,,,,-0.3,1,3.2,1,0.0,,0.18,,0.65,,,,0,0,1,5,0,0,3.7,8,1:38.09,"18,60",tamam
11.07.2026,Ankara,1,3,SCHATZ,TOROK,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,4,12.5,4.75,14.332799999999995,4.58,11.75,2.62,6637,-2.9,3,-0.8,1,2.74,,0.25,,2.86,,,,0,0,0,2,0,1,20.47,2,1:37.62,"4,35",tamam
11.07.2026,Ankara,1,4,DOĞAN AYŞE,GOOD CURRY,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,2,17.5,9.5,22.667799999999993,12.0,21.5,10.12,6809,-0.2,1,-0.2,1,0.05,,,,2.98,,,,0,0,0,,0,0,,,,,kosmadi_veya_eslesmedi
11.07.2026,Ankara,1,5,EURO POWER,DAREDEVIL,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,3,11.0,5.17,14.33219999999999,6.78,10.25,4.83,6753,-1.2,2,0.3,1,0.03,,0.2,,,,,,0,0,0,7,0,0,3.14,9,1:38.81,"11,75",tamam
11.07.2026,Ankara,1,6,MYBOYFRIEND,MYBOYCHARLIE,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,0,,,,,,,,,0,4.1,1,0.27,,0.31,,2.4,,,,0,0,1,3,0,1,3.02,10,1:37.63,"16,45",tamam
11.07.2026,Ankara,1,7,AKIN BEYLİ,RUNNER BULL,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,3,4.0,0.67,17.328799999999994,7.11,19.5,5.92,6686,,0,4.4,1,,,1.0,,0.66,,,,0,0,0,4,0,0,25.61,1,1:37.68,"3,10",tamam
11.07.2026,Ankara,1,8,MIDNIGHT MIRAGE,EPAULETTE,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,4,10.0,3.0,8.332399999999996,3.58,6.5,2.81,6790,-1.2,2,-1.2,1,0.13,,0.3,,0.02,,,,0,0,0,11,0,0,11.77,3,Derecesiz,"5,45",tamam
11.07.2026,Ankara,1,9,BABİLİ,SMART ROBIN,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,1,-6.0,-6.0,-4.666000000000004,-4.67,-6.5,-6.5,6699,-0.8,4,0.1,1,0.43,,0.19,,1.89,,,,0,0,0,9,0,0,6.32,6,1:40.79,"9,00",tamam
11.07.2026,Ankara,1,10,SIEGREICH,BLAZE TO WIN,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,4,6.0,3.25,19.328799999999994,8.08,21.5,7.06,6677,-3.0,3,-1.1,1,0.0,,0.09,,0.25,,,,0,0,0,1,1,1,8.58,5,1:37.53,"10,90",tamam
11.07.2026,Ankara,1,11,SIMAZE,LUXOR,1600,Çim,İngiliz,13:30,Sprinter/Stalker,-24.89363431977111,2,7.5,6.0,7.672999999999995,6.34,4.0,3.25,6737,-0.2,1,1.4,1,4.04,,0.22,,1.85,,,,0,0,0,6,0,0,5.92,7,1:38.52,"14,10",tamam
